Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
United States;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        7354984.11;1.41212e+008;Item
European Union;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        4042597.64;1.07765e+008;Item
Germany;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        3788435.34;7.52443e+007;Item
France;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        1954775.44;4.25037e+007;Item
United Kingdom;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        1623579.65;4.08563e+007;Item
Netherlands;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        1551460.87;2.8332e+007;Item
Italy;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        1252526.12;2.8703e+007;Item
Canada;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        1141235.49;2.08993e+007;Item
Mexico;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;        1083019.60;2.10175e+007;Item
Spain;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         896557.42;2.25938e+007;Item
Belgium;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         817256.26;1.586e+007;Item
Japan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         737981.96;1.46821e+007;Item
Poland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         684069.98;1.5556e+007;Item
Korea, Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         668688.67;1.29769e+007;Item
Australia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         648091.46;1.41489e+007;Item
Russian Federation;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         615632.12;1.73888e+007;Item
Saudi Arabia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         580115.58;1.1258e+007;Item
China;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         552419.09;1.07205e+007;Item
Czech Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         517655.82;1.14566e+007;Item
Slovak Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         487678.33;9.1401e+006;Item
Switzerland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         487422.40;6.88982e+006;Item
Hungary;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         485455.33;1.00429e+007;Item
Austria;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         431439.22;8.58346e+006;Item
Sweden;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         425633.97;7.30644e+006;Item
Turkey;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         425552.83;1.04021e+007;Item
United Arab Emirates;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         411367.24;7.98317e+006;Item
Romania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         348895.33;8.51585e+006;Item
Portugal;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         303485.35;6.74964e+006;Item
Brazil;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         270236.61;1.00767e+007;Item
Norway;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         262107.97;4.00267e+006;Item
Thailand;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         259706.68;5.6096e+006;Item
Malaysia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         256235.66;7.78663e+006;Item
Finland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         233941.07;5.07117e+006;Item
Other Asia, nes;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         227661.11;3.95899e+006;Item
Denmark;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         189165.98;3.56258e+006;Item
Ukraine;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         185846.81;5.30831e+006;Item
Egypt, Arab Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         160738.40;3.11936e+006;Item
Slovenia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         152257.73;3.33603e+006;Item
Iran, Islamic Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         151859.89;2.94706e+006;Item
Israel;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         141295.00;2.81105e+006;Item
Greece;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         140267.42;3.52235e+006;Item
Morocco;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         139962.28;3.3286e+006;Item
South Africa;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         136747.40;4.48691e+006;Item
Hong Kong, China;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         131992.78;1.64822e+006;Item
Singapore;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         118290.09;2.03537e+006;Item
Colombia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         116939.56;3.61113e+006;Item
Kazakhstan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         116058.10;2.25227e+006;Item
New Zealand;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         115801.25;2.7485e+006;Item
Panama;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         113919.14;2.48979e+006;Item
Ireland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         112288.67;2.85322e+006;Item
Croatia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         108443.30;2.20314e+006;Item
Vietnam;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         103004.38;2.04927e+006;Item
Argentina;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;         101427.93;2.24375e+006;Item
Kuwait;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          94227.17;1.87464e+006;Item
Bulgaria;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          91185.97;1.97522e+006;Item
Belarus;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          83395.30;2.3362e+006;Item
Latvia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          76839.97;1.65941e+006;Item
Chile;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          75330.69;2.51466e+006;Item
India;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          74185.41;2.31779e+006;Item
Oman;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          72412.53;1.40527e+006;Item
Lithuania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          70734.94;1.58378e+006;Item
Qatar;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          69059.32;1.37393e+006;Item
Ecuador;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          66408.93;1.83058e+006;Item
Uzbekistan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          64349.00;3.90128e+006;Item
Luxembourg;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          61632.07;689650;Item
Estonia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          60817.85;1.14923e+006;Item
Philippines;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          55912.69;2.1575e+006;Item
Indonesia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          53297.23;1.03431e+006;Item
Peru;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          47703.57;1.5234e+006;Item
Paraguay;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          44683.22;867142;Item
Serbia, FR(Serbia/Montenegro);Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          43732.54;1.04486e+006;Item
Bosnia and Herzegovina;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          42284.91;820599;Item
Jordan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          41281.16;821286;Item
Pakistan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          40724.12;1.90305e+006;Item
Ethiopia(excludes Eritrea);Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          36615.25;710571;Item
Kenya;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          35279.53;684650;Item
Bolivia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          33598.65;1.23093e+007;Item
Guatemala;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          32899.03;654524;Item
Bahrain;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          30568.76;749314;Item
Cyprus;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          30299.90;778422;Item
Azerbaijan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          28041.70;1.05867e+006;Item
Georgia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          25399.52;460417;Item
Dominican Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          23603.51;170004;Item
Tanzania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          22808.53;1.39382e+006;Item
Angola;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          22773.67;441955;Item
Costa Rica;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          22211.58;431047;Item
Iceland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          21817.45;423399;Item
Cuba;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          20379.94;450747;Item
Uruguay;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          19544.16;610124;Item
Uganda;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          18355.77;365187;Item
Armenia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          18085.59;666485;Item
Jamaica;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          17740.17;704789;Item
Moldova;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          17023.75;534196;Item
Namibia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          17014.27;279074;Item
Nigeria;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          16519.38;320582;Item
Albania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          15871.44;378014;Item
Sri Lanka;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          14911.51;422188;Item
North Macedonia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          14769.39;407259;Item
Tunisia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          14705.23;285376;Item
Lebanon;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          14577.89;290026;Item
El Salvador;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          13531.08;262590;Item
Trinidad and Tobago;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          12329.44;530455;Item
Brunei;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          12046.96;419708;Item
Cote d'Ivoire;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          11981.47;232517;Item
Myanmar;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          11956.46;386226;Item
Occ.Pal.Terr;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          11163.36;216641;Item
Zimbabwe;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;          10094.99;195908;Item
Mauritius;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           9696.27;276658;Item
Botswana;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           9362.04;353317;Item
Nepal;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           9361.06;244698;Item
Zambia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           9216.70;178863;Item
Papua New Guinea;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           9166.78;;
Montenegro;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           9134.77;209319;Item
Kyrgyz Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           8813.08;370637;Item
Honduras;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           7992.10;155098;Item
Nicaragua;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           7904.91;153406;Item
Mozambique;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           6906.64;224217;Item
Mongolia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           6630.09;84466;Item
Malawi;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           6554.02;127190;Item
Andorra;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           6104.16;118460;Item
Cambodia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           6045.16;117315;Item
Madagascar;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           5690.43;167351;Item
Rwanda;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           5518.34;107091;Item
Lao PDR;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           5259.26;102063;Item
Macao;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           5230.30;106720;Item
Fiji;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           5090.66;134750;Item
French Polynesia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           4913.10;118781;Item
Bahamas, The;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           4434.11;106717;Item
Lesotho;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           4336.51;84156.1;Item
Malta;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           4284.18;129946;Item
Guyana;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           4239.53;82274.1;Item
Cameroon;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           3911.74;75912.9;Item
Senegal;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           3899.44;77579;Item
Congo, Dem. Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           3633.49;70513;Item
Eswatini;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           3511.78;96835;Item
Cayman Islands;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           3238.58;62849.3;Item
Bhutan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           3227.86;73402;Item
Burkina Faso;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           3181.99;61751;Item
Mauritania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           2774.44;53841.9;Item
Gabon;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           2730.41;86466.7;Item
Mali;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           2718.66;52759.5;Item
Barbados;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           2661.88;52957.9;Item
Tajikistan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1788.24;116225;Item
Seychelles;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1780.39;52442.7;Item
Belize;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1751.48;33990.1;Item
St. Lucia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1734.54;35361.9;Item
East Timor;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1534.51;29779.3;Item
Bermuda;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1532.78;32455;Item
Aruba;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1484.93;28817.3;Item
Suriname;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1320.88;25633.6;Item
Cape Verde;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1317.08;25559.9;Item
Congo, Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1260.70;24465.7;Item
Niger;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1139.19;22107.6;Item
Curaçao;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1139.11;22106;Item
Antigua and Barbuda;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1088.09;19277;Item
Togo;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1046.63;20311.4;Item
Benin;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;           1016.00;19716.8;Item
Burundi;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            807.92;25975;Item
St. Vincent and the Grenadines;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            805.17;15625.4;Item
Gambia, The;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            707.40;;
Grenada;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            626.80;12470.2;Item
Liberia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            563.22;31119.1;Item
Central African Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            526.34;10214.4;Item
Comoros;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            511.65;9929.21;Item
Sao Tome and Principe;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            391.00;7587.9;Item
Kiribati;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            327.89;25871.9;Item
Tonga;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            265.01;18909;Item
Montserrat;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            221.07;4290.26;Item
Dominica;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            160.73;3119.13;Item
Maldives;Import;401110;New pneumatic tyres, of rubber of a kind used o;2020; World;            158.37;5599;Item
